PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
7.9,25,158,192,1,0,1,0,0,0,0,0,1,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,25,964,162,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,25,204,207,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,25,209,207,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,25,196,186,1,0,1,0,0,0,0,0,1,0,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,25,274,226,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,282,222,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,300,231,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,25,170,204,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.5,25,211,207,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4,25,231,202,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,221,203,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.2,25,148,226,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,25,1251,184,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,25,1138,184,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,25,1804,188,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
6.7,25,1051,184,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,25,1641,182,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0
6.7,25,1373,184,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,25,1110,184,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,25,1265,176,1,0,1,0,0,0,0,1,0,1,1,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,25,1481,169,1,0,1,0,0,0,0,1,0,1,1,1,1,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,1834,162,1,0,1,0,0,0,0,1,0,1,1,1,1,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,25,750,189,1,0,1,0,0,0,0,0,1,0.25,1,1,1,0,1,0,0,0,0.75,0.5,0,0,0,0,0,0,0,0
7.8,25,700,194,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0
7.7,25,220,212,0,1,1,0,0,0,0,0,1,0.2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7.5,25,244,205,0,1,1,0,0,0,0,0,1,0.38,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,208,220,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,230,220,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7.8,25,620,210,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0
7.4,25,1272,185,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
