a_mono,a,b,DFT_energy_bi,magnetic_moment,formation_energy,area,d,no_soc_bandgap,soc_bandgap,dielectric_constant,soc_energy,del_e_bilayer_bottom_and_mono
3.3219535672,3.3369506798,3.3369506798,-39.623672,0.0,-0.297236,9.6433997813,2.7012722236,0.0,0.0,133.58784,-0.61230495,0.112123
3.4935828355,3.4381871196,3.4381871196,-42.397422,0.0,-0.3338813333,10.237284921,2.6800383081,0.0,0.0,34.725118,-1.04061091,0.110058
3.9343651222,3.9242599261,3.9242599261,-22.106501,0.0,-0.1562478333,13.3368036542,3.2320669262,0.4441,0.2889,7.557986,-0.07819881,-0.028724
3.4017733585,3.3616587325,3.3616587325,-40.392551,0.0,-0.3322925,9.7868634435,2.435314318,0.0,0.0,60.535916,-0.11580096,0.105072
4.0665628974,4.0523715084,4.0523715084,-24.352339,0.0,-0.1355218333,14.1795044513,2.9132750999,1.6105,1.0477,4.177573,-0.40322535,-0.007675
4.308875129,4.3049041599,4.3049041599,-22.286846,0.0,-0.1669706667,16.017671552,3.0113794741,1.0802,0.2899,5.63949,-0.53223961,-0.023796
3.3717243363,3.3650243503,3.3650243503,-37.901191,0.0,-0.2887298333,9.9590663774,2.9894418102,0.0,0.0,77.835318,-0.65398893,-0.040385
3.3324757561,3.2908241428,3.2908241428,-40.398512,0.0,-0.3237173333,9.3786121526,3.509473822,0.0,0.0,35.180685,-1.08727093,-0.035174
3.342583775,3.3081618271,3.3081618271,-36.086709,0.0,-0.2986538333,9.4753035327,3.7088823543,0.0,0.0,56.297991,-0.63414758,-0.027918
4.1985653246,4.1945995747,4.1945995747,-21.930938,0.0,-0.1577213333,15.2222873561,3.0840364841,0.6792,0.4538,6.28584,-0.10827818,-0.026481
3.7056180256,3.6849512192,3.6849512192,-44.944469,0.0,-0.1755598333,11.7594889383,3.0862099633,0.7148,0.5753,6.412204,-0.44887451,0.004208
4.0840347927,4.075876162,4.075876162,-22.157085,0.0,-0.1681265,14.3872536952,3.2269159524,1.293,0.9909,6.621692,-0.12538735,0.004962
4.1680832509,4.1487492801,4.1487492801,-21.275014,0.0,-0.1856316667,14.9061207186,3.1876591248,1.2051,0.9749,7.385279,-0.14452533,0.00047
3.5859390929,3.5468738268,3.5468738268,-38.974077,0.0,-0.2625325,10.8947685879,2.9934653509,0.0,0.0,29.503084,-0.14174598,0.044382
3.8288182972,3.8063692858,3.8063692858,-40.02776,0.0,-0.186952,12.54739367,3.2216047337,0.0,0.0,14.293833,-0.11712131,0.018172
3.6477700328,3.6338943802,3.6338943802,-35.706532,0.0,-0.2070163333,11.4360866609,3.260953873,0.0,0.0,34.836635,-0.08900646,0.023201
3.3048973233,3.4143765929,3.4143765929,-36.159848,3.4287,-0.3292943333,10.0959094538,2.7221964323,0.0,0.0,135.989296,-0.57320378,0.11741
3.367764268,3.3314913587,3.3314913587,-36.401618,0.0,-0.3159643333,9.6118400209,2.6883836094,0.0,0.0,46.06514,-0.54690366,0.11018
3.8157776911,3.8077479373,3.8077479373,-22.327662,0.0,-0.1670196667,12.5565428274,3.2252538955,0.8352,0.7687,7.148261,-0.0416127,-0.010076
3.6506176579,3.630095962,3.630095962,-24.061508,0.0,-0.133035,11.4119812084,3.0524309901,1.0651,1.0389,5.444212,-0.0080935,-0.00784
3.838969893,3.8270199148,3.8270199148,-22.199573,0.0,-0.1674228333,12.6838381125,3.2678379246,1.2699,1.0442,8.103629,-0.10296483,0.007764
3.2347436276,3.2848096262,3.2848096262,-40.734633,0.0,-0.2874831667,9.3443794991,2.4046304433,0.0,0.0,122.397609,-0.1236088,0.104373
4.1884925935,4.167731971,4.167731971,-22.525327,0.0,-0.1701335,15.0428119592,3.0275699456,1.2909,0.6608,5.234574,-0.46784618,-0.007458
3.3173690008,3.2786641176,3.2786641176,-38.329872,0.0,-0.2956696667,9.3095914086,3.6250343861,0.0,0.0,32.681353,-1.05240036,-0.027692
4.2725638595,4.2437366813,4.2437366813,-21.603018,0.0,-0.192732,15.5966766686,3.1182833225,1.5363,0.7648,6.169687,-0.54858471,0.002597
4.07576877,4.0542690419,4.0542690419,-22.151748,0.0,-0.1642946667,14.2349388706,3.0506090001,0.8673,0.7404,6.086277,-0.06868355,-0.01033
4.0319499178,4.0118707521,4.0118707521,-22.985436,0.0,-0.1443586667,13.9386419188,2.9489886201,0.7311,0.6027,5.374973,-0.04929746,-0.014897
3.8700865177,3.8396316394,3.8396316394,-40.914688,0.0,-0.2164823333,12.7674986726,3.184253101,0.0,0.0,12.494444,-0.52845058,0.012838
3.4369065118,3.4003573812,3.4003573812,-42.588562,0.0,-0.227502,10.0132818552,2.8108629736,0.0,0.0,1143.252514,-0.07247096,0.027816
3.4428139189,3.4206868293,3.4206868293,-45.550755,0.0,-0.2070618333,10.1335169608,2.9986085464,0.0,0.0,27.658776,-0.46447381,0.02278
