Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
14,0.2,0.8,1.0152,0.0878,816
14,0.3,0.7,1.0095,0.0935,840
14,0.4,0.6,1.0036,0.0994,864
14,0.5,0.5,0.9975,0.1055,915
14,0.6,0.4,0.9916,0.1114,956
14,0.7,0.31,0.9858,0.1172,1015
14,0.8,0.2,0.9798,0.1232,1065
14,0.9,0.1,0.9737,0.1293,1101
20,0.0,1.0,1.0272,0.0758,768
20,0.1,0.9,1.0201,0.0841,803
20,0.2,0.8,1.0127,0.0927,840
20,0.25,0.75,1.0091,0.0969,864
20,0.3,0.7,1.0056,0.1009,922
20,0.4,0.6,0.9983,0.1094,990
4,0.05,0.95,1.0233,0.0756,755
4,0.1,0.9,1.0189,0.0753,736
4,0.13,0.87,1.0165,0.0752,725
4,0.15,0.85,1.0151,0.0751,707
4,0.17,0.83,1.0132,0.075,705
4,0.2,0.8,1.0108,0.0748,682
4,0.25,0.75,1.0068,0.0746,643
4,0.5,0.5,0.9867,0.0733,493
4,0.52,0.48,0.9851,0.0732,493
4,0.54,0.46,0.9836,0.0731,470
4,0.56,0.44,0.982,0.073,447
4,0.58,0.42,0.9803,0.0729,447
4,0.6,0.4,0.9787,0.0728,430
2,0.0,1.0,1.027,0.0759,768
2,0.05,0.95,1.0232,0.0765,768
2,0.1,0.9,1.0189,0.0773,757
2,0.15,0.85,1.0148,0.0779,742
2,0.2,0.8,1.011,0.0786,723
2,0.25,0.75,1.0067,0.0793,696
16,0.15,0.85,1.0075,0.075,821
16,0.2,0.8,1.0013,0.0748,834
16,0.3,0.7,0.9884,0.0743,837
16,0.34,0.66,0.983,0.0741,820
19,0.15,0.85,1.0115,0.0774,800
19,0.25,0.75,1.0008,0.0786,769
19,0.3,0.7,0.9954,0.0791,753
19,0.36,0.64,0.9893,0.0798,722
19,0.4,0.6,0.9852,0.0802,694
10,0.1,0.9,1.0184,0.085,795
10,0.15,0.85,1.0141,0.0896,809
10,0.2,0.8,1.0096,0.0944,817
10,0.25,0.75,1.0051,0.099,809
10,0.3,0.7,1.0009,0.1035,775
3,0.05,0.95,1.0239,0.0771,779
3,0.1,0.9,1.0205,0.0783,788
3,0.15,0.85,1.017,0.0796,793
3,0.36,0.64,1.0028,0.0849,796
3,0.5,0.5,0.9934,0.0884,796
3,0.55,0.45,0.9899,0.0897,776
3,0.58,0.42,0.9877,0.0905,751
3,0.6,0.4,0.9863,0.091,741
3,0.05,0.95,1.0243,0.077,772
3,0.1,0.9,1.021,0.0783,773
3,0.15,0.85,1.0181,0.0794,772
3,0.2,0.8,1.0149,0.0807,763
3,0.3,0.7,1.009,0.083,738
3,0.4,0.6,1.003,0.0853,746
3,0.5,0.5,0.9969,0.0877,700
3,0.6,0.4,0.9907,0.0902,680
17,0.1,0.9,1.0118,0.0744,837
15,0.15,0.85,1.0201,0.0759,757
15,0.2,0.8,1.0177,0.0759,768
1,0.39,0.61,0.9914,0.0791,750
1,0.37,0.63,0.9936,0.0789,743
1,0.34,0.66,0.9958,0.0787,759
1,0.32,0.68,0.998,0.0785,762
1,0.3,0.7,1.0,0.0783,767
1,0.18,0.82,1.0109,0.0773,795
6,0.33,0.68,1.0034,0.0798,573
6,0.3,0.7,1.0053,0.0795,610
6,0.25,0.75,1.009,0.0789,663
6,0.2,0.8,1.0126,0.0783,702
6,0.15,0.85,1.0163,0.0777,723
6,0.1,0.9,1.0199,0.077,747
6,0.05,0.95,1.0235,0.0764,768
6,0.0,1.0,1.0271,0.0758,764
7,0.55,0.45,0.9814,0.0952,703
7,0.5,0.5,0.9856,0.0935,698
7,0.47,0.53,0.9881,0.0924,701
7,0.45,0.55,0.9897,0.0917,713
11,0.05,0.95,1.0228,0.08,774
11,0.1,0.9,1.0185,0.0841,773
11,0.15,0.85,1.0141,0.0883,788
11,0.2,0.8,1.0097,0.0925,803
4,0.45,0.55,0.9909,0.0736,516
4,0.4,0.6,0.9949,0.0738,518
4,0.35,0.65,0.999,0.0741,519
4,0.3,0.7,1.0029,0.0743,563
4,0.25,0.75,1.007,0.0746,635
4,0.2,0.8,1.0109,0.0748,670
4,0.17,0.83,1.0132,0.075,689
4,0.15,0.85,1.0149,0.0751,704
4,0.13,0.87,1.0168,0.0752,720
4,0.1,0.9,1.0192,0.0753,743
4,0.05,0.95,1.0232,0.0756,756
9,0.55,0.45,0.9625,0.0774,652
9,0.53,0.47,0.9648,0.0774,667
9,0.5,0.5,0.9683,0.0773,687
18,0.05,0.95,1.0242,0.0773,764
18,0.1,0.9,1.0212,0.0787,747
18,0.15,0.85,1.0183,0.0802,744
18,0.2,0.8,1.0152,0.0817,725
18,0.25,0.75,1.0123,0.0831,684
13,0.05,0.95,1.027,0.0764,733
13,0.1,0.9,1.0269,0.0769,728
13,0.15,0.85,1.0267,0.0775,723
12,0.1,0.9,1.0173,0.0828,782
12,0.2,0.8,1.0074,0.0897,763
12,0.3,0.7,0.9975,0.0967,671
5,0.2,0.8,1.0083,0.0779,735
5,0.35,0.65,0.9942,0.0794,629
5,0.4,0.6,0.9894,0.0799,582
9,0.35,0.65,0.986,0.0769,743
9,0.33,0.67,0.9857,0.0774,762
9,0.31,0.69,0.9881,0.0772,784
9,0.28,0.72,0.9917,0.0769,804
9,0.35,0.65,0.9831,0.0773,749
9,0.33,0.67,0.9854,0.077,759
9,0.3,0.7,0.9889,0.0767,773
9,0.37,0.63,0.9808,0.0775,741
9,0.31,0.69,0.9887,0.0776,776
9,0.27,0.73,0.9943,0.078,778
9,0.31,0.69,0.9899,0.0784,750
9,0.35,0.65,0.9854,0.0789,728
9,0.37,0.63,0.9831,0.0791,718
8,0.25,0.75,1.0057,0.0771,798
7,0.4,0.6,0.9842,0.0839,728
0,0.2,0.8,1.0162,0.089,898
