Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
2,1,5,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-5.296571429,0.877336191,4.072913752,0.542857143
0,1,5,1.28,0.95,0.61,1.93,2.16,2.76145322,1.7893,-5.083428571,0.942809042,4.126280155,0.435714286
2,1,5,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-5.366857143,0.928944203,4.072890082,0.457142857
0,1,5,1.28,0.95,0.58,1.93,1.9,2.76145322,1.98797081,-5.163714286,0.957094027,4.201731568,0.414285714
1,1,5,1.28,0.95,0.6,1.93,2.05,2.76145322,2.075848892,-5.121428571,0.947523087,4.148924717,0.428571429
2,1,5,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-5.412571429,0.928944203,4.072890082,0.457142857
2,1,5,1.28,0.95,0.76,1.93,1.38,2.76145322,2.0478,-5.644,0.877336191,4.072913752,0.542857143
0,1,5,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-5.004,0.93814167,4.106081989,0.442857143
1,2,4,1.61,1.35,0.87,0.89,1.12,2.942998888,2.268642439,-8.330214286,0.937617362,3.622472408,0.621428571
0,2,4,1.61,1.35,0.59,0.89,1.83,2.942998888,1.999521816,-7.567,1.069543423,3.809485555,0.421428571
0,2,4,1.61,1.35,0.71,0.89,1.3,2.942998888,2.027412322,-7.973785714,1.008716309,3.511192926,0.507142857
1,2,4,1.61,1.35,0.63,0.89,2.2,2.942998888,2.009082787,-7.4465,1.048468676,3.669602059,0.45
0,2,4,1.61,1.35,0.65,0.89,2.16,2.942998888,1.7893,-7.482785714,1.038239713,3.615536105,0.464285714
0,2,4,1.61,1.35,0.68,0.89,1.6,2.942998888,1.955055241,-7.782214286,1.023265102,3.552862825,0.485714286
1,2,4,1.61,1.35,0.78,0.89,2.33,2.942998888,2.362863567,-7.506928571,0.976326335,3.49134005,0.557142857
1,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.04250519,-7.437642857,1.053659115,3.700495376,0.442857143
1,2,4,1.61,1.35,0.85,0.89,1.13,2.942998888,2.340791612,-8.291,0.945951738,3.577731009,0.607142857
0,2,4,1.61,1.35,0.63,0.89,1.9,2.942998888,1.98797081,-7.5815,1.048468676,3.669602059,0.45
1,2,4,1.61,1.35,0.6,0.89,2.28,2.942998888,2.001424352,-7.385642857,1.064195706,3.770356148,0.428571429
0,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.018753288,-7.437642857,1.053659115,3.700495376,0.442857143
0,2,4,1.61,1.35,0.69,0.89,1.96,2.942998888,2.052287148,-7.617928571,1.018369096,3.536690513,0.492857143
0,2,4,1.61,1.35,0.68,0.89,1.5,2.942998888,1.956808277,-7.830785714,1.023265102,3.552862825,0.485714286
1,2,4,1.61,1.35,0.76,0.89,1.2,2.942998888,2.256932729,-8.1045,0.985366394,3.48617832,0.542857143
