type,original_scores,original_scores_std,scores,scores_std,dcc_pearson,dcc_spearman,dcc_kendall,dcc_mi,dcc_js,dcc_wd,dcc_xi,dcc_dcor,perturbation_type,dataset,ptb_ratio,corr_max_pearson,corr_max_spearman,corr_max_kendall,corr_max_mi,corr_max_js,corr_max_wd,corr_max_xi,corr_max_dcor,corr_cnt_good_pearson,corr_cnt_good_spearman,corr_cnt_good_kendall,corr_cnt_good_mi,corr_cnt_good_js,corr_cnt_good_wd,corr_cnt_good_xi,corr_cnt_good_dcor,scores_ratio,scores_std_ratio
classification,0.8922537112010795,0.0505220807611312,0.9,0.041101602104585855,0.978021978021978,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,1.0,Deletion,Bala Classification,0.05,0.4513135787652012,0.44139282868295693,0.3619660860385755,0.1664658442968256,0.574333454602744,0.9099192283005155,0.3622323166774821,0.4252791234395027,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,1.008681710932301,0.8135373976165898
classification,0.8922537112010795,0.0505220807611312,0.8720853658536587,0.04361114897995489,0.5604395604395604,0.6923076923076923,0.8021978021978022,0.8571428571428571,0.8461538461538461,0.8461538461538461,0.3626373626373626,0.8681318681318682,AdditionLinear,Bala Classification,0.05,0.3961662887841825,0.3963867125327156,0.3249446880169973,0.1122346414597446,0.5733943819341075,0.8740121796101802,0.49144056847545214,0.38475345568548275,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.9773961765647667,0.8632096763026993
classification,0.8922537112010795,0.0505220807611312,0.8970853658536585,0.04226602800654082,0.5824175824175825,0.6263736263736264,0.7472527472527473,0.7912087912087912,0.7362637362637363,0.8241758241758241,0.4065934065934066,0.7802197802197802,AdditionRand,Bala Classification,0.05,0.430983784259665,0.41637148956388925,0.3413025020381701,0.14923088462072842,0.5732131975410624,0.8735159175131935,0.5080868269844647,0.4049153026962323,0.0,0.0,0.0,0.0,0.4166666666666667,0.75,0.08333333333333333,0.0,1.0054151129795525,0.8365852587579466
classification,0.8922537112010795,0.0505220807611312,0.8813495276653172,0.053609362491114455,0.4725274725274725,0.6703296703296703,0.7692307692307693,0.8901098901098901,0.6923076923076923,0.7692307692307693,0.3626373626373626,0.8021978021978022,ReplacementLinear,Bala Classification,0.05,0.448573991112976,0.43773748608091195,0.35885980456183875,0.14255680657496836,0.5575068338439217,0.8723683412850651,0.48290398126463696,0.4251343132270393,0.0,0.0,0.0,0.0,0.4166666666666667,0.6666666666666666,0.0,0.0,0.9877790549942527,1.0611075728369137
classification,0.8922537112010795,0.0505220807611312,0.8662078272604589,0.06487544439524998,0.5714285714285714,0.6923076923076923,0.8241758241758241,0.8571428571428571,0.7472527472527473,0.8021978021978022,0.38461538461538464,0.8131868131868132,ReplacementRand,Bala Classification,0.05,0.38669933706820075,0.38425986430213416,0.3149593075502531,0.12970823171329593,0.5694159711511516,0.8633235494838609,0.4497910447761194,0.37065435861625057,0.0,0.0,0.0,0.0,0.4166666666666667,0.6666666666666666,0.0,0.0,0.970808881360034,1.2841008014294106
regression,0.7349908328502035,0.2093661776691959,0.7609565390078771,0.17789738507732417,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,Deletion,Bala Regression,0.05,0.6391038759617106,0.42215147989170354,0.3201559885158681,0.24128469095715488,0.43516617921868905,0.4534377444552712,0.4642298706793473,0.5647417871345567,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0353279319919975,0.8496949557841512
regression,0.7349908328502035,0.2093661776691959,0.5200351302471838,0.2889835012913588,0.4,0.7333333333333333,0.8,0.8666666666666667,1.0,1.0,0.3333333333333333,0.8,AdditionLinear,Bala Regression,0.05,0.556457910428349,0.3672954426052423,0.27484586744601364,0.2226733956090517,0.4141957186736299,0.4227898224379775,0.4509154486519016,0.5285788002245874,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.707539614107229,1.3802778677459564
regression,0.7349908328502035,0.2093661776691959,0.6078426312386839,0.30245664716126436,0.5333333333333333,0.8,0.8,0.8,0.8666666666666667,0.8666666666666667,0.4,0.8,AdditionRand,Bala Regression,0.05,0.5301468381509756,0.41032822492999754,0.3095746432632021,0.23819756864881667,0.42067288853310525,0.4466867656883603,0.45599571490438306,0.5265078344646038,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8270070918865007,1.4446299327255898
regression,0.7349908328502035,0.2093661776691959,0.6664538295229084,0.22582004106026027,0.4666666666666667,0.6,0.6666666666666666,0.8,0.8666666666666667,1.0,0.3333333333333333,0.7333333333333333,ReplacementLinear,Bala Regression,0.05,0.6428559132561764,0.449783226521129,0.34213918198561444,0.2795940753936944,0.4198138873892582,0.44518167261725494,0.49200741024458494,0.6040174983408271,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9067512133974283,1.0785889276588978
regression,0.7349908328502035,0.2093661776691959,0.5545281632102914,0.3253034776376132,0.4666666666666667,0.6,0.6666666666666666,0.8666666666666667,0.8,1.0,0.3333333333333333,0.7333333333333333,ReplacementRand,Bala Regression,0.05,0.5301314935273633,0.43827920751461524,0.33261624901781184,0.22235653704564332,0.4121555214187993,0.4448628317128257,0.4948615550536508,0.5509745322275097,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7544694959798339,1.5537537211554833
regression,0.799826368134353,0.028368473466132537,0.7906438649797003,0.03788469544023241,1.0,1.0,1.0,1.0,1.0,1.0,-0.04487179487179487,1.0,Deletion,Bandgap,0.05,0.6800054547165543,0.7009064711165719,0.5227947479605053,0.18632260238101978,0.5867644806024513,0.303044636031399,19.40064169814449,0.6759265471818745,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.45454545454545453,0.0,1.0909090909090908,0.36363636363636365,0.9885193793046965,1.3354506186404684
regression,0.799826368134353,0.028368473466132537,0.8149023485917324,0.02259474865430903,0.3333333333333333,0.6282051282051282,0.7435897435897436,0.8846153846153846,0.5641025641025641,0.5641025641025641,0.02564102564102564,0.5512820512820513,AdditionLinear,Bandgap,0.05,0.5862407331363882,0.647492428668324,0.47254174424777584,0.17056235914201864,0.51961884655309,0.4140460567329904,1.3641080660353073,0.6049855885529514,0.09090909090909091,0.18181818181818182,0.0,0.0,0.2727272727272727,0.0,1.0,0.2727272727272727,1.018849066569967,0.7964738984381228
regression,0.799826368134353,0.028368473466132537,0.6632289942666674,0.04062654666028825,0.3333333333333333,0.6923076923076923,0.8205128205128205,0.8589743589743589,0.48717948717948717,0.5384615384615384,0.01282051282051282,0.5256410256410257,AdditionRand,Bandgap,0.05,0.5373118155537666,0.6212584919632683,0.46967828314324056,0.17319739259342412,0.5216410383901133,0.4221858979943232,1.2827167237281814,0.5832732088501992,0.09090909090909091,0.18181818181818182,0.0,0.0,0.36363636363636365,0.0,0.8181818181818182,0.2727272727272727,0.8292162157815478,1.4321019673050053
regression,0.799826368134353,0.028368473466132537,0.808820964352986,0.02548822870040201,0.3076923076923077,0.5128205128205128,0.7051282051282052,0.8461538461538461,0.5128205128205128,0.6025641025641025,0.20512820512820512,0.5512820512820513,ReplacementLinear,Bandgap,0.05,0.54113862636576,0.6113564374709972,0.4466777562346242,0.16501648991151538,0.5228290508497643,0.456928544607208,2.2968692154636834,0.5665653322530396,0.09090909090909091,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,1.0909090909090908,0.2727272727272727,1.0112456860350996,0.8984702236738581
regression,0.799826368134353,0.028368473466132537,0.6719634431667798,0.051092033877350576,0.15384615384615385,0.5256410256410257,0.782051282051282,0.8333333333333334,0.4358974358974359,0.5384615384615384,0.10256410256410256,0.5,ReplacementRand,Bandgap,0.05,0.5011596250791224,0.6086255856959761,0.461401848189573,0.17012634176778188,0.5240017454721938,0.4234670821966484,2.1572283173418176,0.572190175097842,0.09090909090909091,0.18181818181818182,0.0,0.0,0.36363636363636365,0.0,1.0909090909090908,0.2727272727272727,0.8401366470752624,1.8010145642255433
regression,0.9724184466449153,0.02330461528137598,0.97220745430736,0.024443985423105233,1.0,1.0,1.0,1.0,1.0,1.0,0.8589743589743589,1.0,Deletion,BMDS,0.05,0.9788586800706857,0.9751001794936269,0.9137408940801222,0.7172749795072216,0.7175472391517238,0.6915580914064376,0.8485036491873729,0.9707593782814589,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.9997830231025715,1.0488903218513883
regression,0.9724184466449153,0.02330461528137598,0.9064462998129041,0.041465973269822556,0.28205128205128205,0.44871794871794873,0.5384615384615384,0.47435897435897434,0.3076923076923077,0.32051282051282054,0.6923076923076923,0.3974358974358974,AdditionLinear,BMDS,0.05,0.9326300966825937,0.9630032838969498,0.8918712618945737,0.6591299223359061,0.6862004850438145,0.71228143846445,0.8104995418461681,0.9354805588378963,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.9321566275715651,1.7793030594656645
regression,0.9724184466449153,0.02330461528137598,0.8737020642850037,0.04087386831640186,0.23076923076923078,0.3974358974358974,0.47435897435897434,0.47435897435897434,0.2564102564102564,0.3076923076923077,0.717948717948718,0.358974358974359,AdditionRand,BMDS,0.05,0.8778186970178579,0.9649988012071293,0.8887676771331993,0.6481528719965408,0.6727599269805987,0.728435025683334,0.8091490076095027,0.9114367956881422,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.8984836387046055,1.7538958623816652
regression,0.9724184466449153,0.02330461528137598,0.9077674645173748,0.048947446018520156,0.19230769230769232,0.34615384615384615,0.44871794871794873,0.4230769230769231,0.1794871794871795,0.3076923076923077,0.6923076923076923,0.3076923076923077,ReplacementLinear,BMDS,0.05,0.9241343414245332,0.9643969659038226,0.8969144465157853,0.6569412888746301,0.6611044641192929,0.7221748619500086,0.8178069622587302,0.9366780209865948,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.9335152656239684,2.100332720688026
